Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,8,Motor vehicle theft,,1,3B50,"Bar, Nightclub",8800-8899,META,,
9/1/18,8,Theft from motor vehicle,,1,1.60E+41,"Parking Lot, Garage",6600-6699,BRIARGATE,DR,
9/1/18,8,All other larceny,,1,12D20,"Residence, Home (Includes Apartment)",9700-9799,BLACKHAWK,BLVD,
9/1/18,8,Simple assault,,1,1A50,"Residence, Home (Includes Apartment)",3900-3999,RICHMOND,AVE,
9/1/18,8,Intimidation,,1,1.70E+11,"Residence, Home (Includes Apartment)",5700-5799,GULFTON,ST,
9/1/18,8,"Destruction, damage, vandalism",,1,18F40,"Residence, Home (Includes Apartment)",2100-2199,TANGLEWILDE,ST,
9/1/18,8,Theft from motor vehicle,,1,7C30,"Residence, Home (Includes Apartment)",3700-3799,KEELAND,,
9/1/18,8,Simple assault,,1,11H30,"Residence, Home (Includes Apartment)",8500-8599,BAYOU,DR,N
9/1/18,8,Intimidation,,1,1.70E+41,"Other, Unknown",10600-10699,BRAES BEND,DR,
9/1/18,8,"Family offenses, no violence",,1,24C10,"Residence, Home (Includes Apartment)",2100-2199,LAKE VILLAGE,DR,
9/1/18,9,"Drug, narcotic violations",,1,1A10,"Drug Store, Doctors Office, Hospital",14200-14299,FM 2100,,
9/1/18,9,Trespass of real property,,1,19G20,Speciality Store,8000-8099,BOONE,RD,
9/1/18,9,Trespass of real property,,1,14D10,"Commercial, Office Building",7200-7299,SCOTT,ST,
9/1/18,9,Aggravated Assault,,1,5F20,"Parking Lot, Garage",7900-7999,LONG POINT,RD,
9/1/18,9,"Destruction, damage, vandalism",,1,14D20,"Residence, Home (Includes Apartment)",4100-4199,BARBERRY,DR,
9/1/18,9,Intimidation,,1,18F50,"Bar, Nightclub",7100-7199,CLAREWOOD,DR,
9/1/18,9,Intimidation,,1,10H50,"Residence, Home (Includes Apartment)",3700-3799,BURKETT,ST,
