Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
02/07/2018,03,Burglary,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST,-,1
02/07/2018,06,Theft,10H40,"Church, Synagogue, or Temple Parking Lot",3600-3699,MILAM,-,-,1
02/07/2018,10,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,MILAM,-,-,1
02/08/2018,23,Robbery,10H40,Bar or Night Club Parking Lot,17200-17299,IMPERIAL VALLEY DR 57,-,-,1
02/08/2018,22,Theft,10H40,Garage or Carport,2400-2499,CRAWFORD ST,ST,-,1
02/08/2018,19,Theft,10H40,"Other, Unknown, or Not Listed",2300-2399,MAIN ST,ST,-,1
02/09/2018,15,Theft,10H40,Restaurant or Cafeteria Parking Lot,2600-2699,SAN JACINTO ST,ST,-,1
02/09/2018,20,Theft,10H40,"Other, Unknown, or Not Listed",3100-3199,MAIN ST,ST,-,1
02/10/2018,02,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,P O BOX 690293,-,-,1
02/10/2018,02,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,SAN JACINTO ST,ST,-,1
02/10/2018,08,Theft,10H40,"Road, Street, or Sidewalk",3200-3299,PO BOX 106169,-,-,1
02/10/2018,14,AutoTheft,10H40,Commercial Parking Lot or Garage,2700-2799,TRAVIS ST,ST,-,1
02/10/2018,16,Theft,10H40,Residence or House,3600-3699,CHENEVERT,-,-,1
02/11/2018,03,Burglary,10H40,Apartment,5200-5299,WINDCREST,ST,-,1
02/11/2018,21,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,FANNIN ST,ST,-,1
02/12/2018,14,AutoTheft,10H40,Apartment Parking Lot,2900-2999,MILAM,-,-,1
02/12/2018,19,Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-,-,1
02/13/2018,11,Theft,10H40,Apartment Parking Lot,3500-3599,MAIN ST,ST,-,1
02/13/2018,17,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,ST,-,1
02/13/2018,20,Theft,10H40,"Road, Street, or Sidewalk",700-799,ROSALIE,-,-,2
02/13/2018,20,Theft,10H40,"Road, Street, or Sidewalk",5300-5399,MEMORIAL,DR,-,1
02/13/2018,13,Theft,10H40,"Church, Synagogue, or Temple",3400-3499,FANNIN ST,ST,-,1
02/13/2018,21,Theft,10H40,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,ST,-,1
02/14/2018,00,AutoTheft,10H40,Apartment Parking Lot,4000-4099,FANNIN ST,ST,-,1
02/14/2018,01,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,LADY GREY,AVE,-,1
02/14/2018,09,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE ST,ST,-,1
02/14/2018,22,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,TRAVIS ST,ST,-,1
02/14/2018,22,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,TRAVIS ST,ST,-,1
02/15/2018,20,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
02/15/2018,10,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST,-,1
02/15/2018,07,Burglary,10H40,Construction Site,2700-2799,TRAVIS,ST,-,1
02/15/2018,08,Rape,10H40,"Road, Street, or Sidewalk",1700-1799,EVERETT,ST,-,1
02/16/2018,09,AutoTheft,10H40,"Road, Street, or Sidewalk",2200-2299,AUSTIN ST,ST,-,1
02/16/2018,10,Theft,10H40,Commercial Building,4200-4299,SAN JACINTO ST,ST,-,1
02/16/2018,08,Theft,10H40,Apartment Parking Lot,800-899,ALABAMA ST,ST,-,1
02/16/2018,07,Theft,10H40,Apartment Parking Lot,800-899,ALABAMA ST,ST,-,1
02/16/2018,04,Theft,10H40,Apartment Parking Lot,800-899,ALABAMA,ST,-,1
02/16/2018,16,Theft,10H40,Grocery Store or Supermarket,8600-8699,STERLINGSHIRE,-,-,1
02/17/2018,14,Theft,10H40,Apartment,4500-4599,TRAVIS ST,ST,-,1
02/17/2018,10,AutoTheft,10H40,Bar or Night Club Parking Lot,3300-3399,MILAM,-,-,1
02/17/2018,12,Theft,10H40,Apartment Parking Lot,1000-1099,MAIN,ST,-,1
02/18/2018,02,Theft,10H40,Bar or Night Club,3700-3799,MAIN ST,ST,-,1
02/18/2018,12,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,FANNIN,-,-,1
02/19/2018,20,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,CRAWFORD ST,ST,-,1
02/19/2018,13,Theft,10H40,"Road, Street, or Sidewalk",5300-5399,COKE,ST,-,1
02/19/2018,17,Theft,10H40,Apartment Parking Lot,2200-2299,SMITH ST APT 323,-,-,1
02/19/2018,03,Theft,10H40,Apartment,2300-2399,LOUISIANA ST,ST,-,1
02/19/2018,07,Robbery,10H40,Bank,2300-2399,FANNIN ST,ST,-,1
02/20/2018,12,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO ST,ST,-,1
02/20/2018,10,Theft,10H40,Construction Site,3900-3999,MAIN,ST,-,1
02/20/2018,08,Aggravated Assault,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
02/20/2018,15,Theft,10H40,"Physician, Doctor, Dentist's Office",2100-2199,CRAWFORD ST,ST,-,1
02/21/2018,22,AutoTheft,10H40,Apartment Parking Lot,3800-3899,MAIN ST,ST,-,1
02/21/2018,19,Theft,10H40,Apartment Parking Lot,2300-2399,LOUISIANA ST,ST,-,1
02/21/2018,05,Theft,10H40,Apartment Parking Lot,3500-3599,MAIN ST,ST,-,1
02/22/2018,09,Theft,10H40,Residence or House,1400-1499,ANITA ST,ST,-,1
02/22/2018,18,Theft,10H40,Bar or Night Club,2300-2399,MAIN ST,ST,-,1
02/22/2018,20,Robbery,10H40,Restaurant or Cafeteria,2000-2099,MAIN ST,ST,-,1
02/23/2018,03,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SOUTH VOSS RD A-104,-,-,1
02/23/2018,21,Theft,10H40,Other Parking Lot,3100-3199,MAIN ST,ST,-,1
02/23/2018,20,Robbery,10H40,Restaurant or Cafeteria,2000-2099,MAIN ST,ST,-,1
02/24/2018,13,Theft,10H40,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-,-,1
02/24/2018,09,Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST,-,1
02/24/2018,11,Theft,10H40,Bar or Night Club,2900-2999,PO BOX 15402,-,-,1
02/24/2018,08,Burglary,10H40,Miscellaneous Business (Non-Specific),3100-3199,FANNIN ST,ST,-,1
02/24/2018,21,Theft,10H40,Apartment,1200-1299,DENNIS ST,ST,-,1
02/25/2018,03,Robbery,10H40,"Road, Street, or Sidewalk",1600-1699,HOLMAN,-,-,1
02/25/2018,05,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,ALMEDA RD,RD,-,1
02/25/2018,02,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,DREW ST,ST,-,1
02/25/2018,09,AutoTheft,10H40,Bar or Night Club Parking Lot,2400-2499,FANNIN ST,ST,-,1
02/26/2018,04,Robbery,10H40,Service or Gas Station,3800-3899,BRIER GARDENS,DR,-,1
02/26/2018,15,Theft,10H40,"Church, Synagogue, or Temple",3600-3699,MILAM,-,-,1
02/26/2018,12,Burglary,10H40,Garage or Carport,2900-2999,CHENEVERT ST,ST,-,1
02/26/2018,22,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,FRANCIS ST,ST,-,1
02/27/2018,09,Aggravated Assault,10H40,Bus Stop,4500-4599,MAIN ST,ST,-,1
02/27/2018,19,Theft,10H40,Bar or Night Club,2300-2399,MAIN ST,ST,-,1
02/28/2018,10,Theft,10H40,Commercial Parking Lot or Garage,900-999,WINBERN,-,-,1
02/02/2018,22,Theft,10H50,Restaurant or Cafeteria Parking Lot,2200-2299,ALABAMA ST,ST,-,1
02/02/2018,08,Theft,10H50,Convenience Store,3100-3199,ALABAMA,ST,-,1
02/03/2018,00,Burglary,10H50,Residence or House,2200-2299,ISABELLA,-,-,1
02/03/2018,00,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,HOLMAN,-,-,1
02/03/2018,08,AutoTheft,10H50,"Road, Street, or Sidewalk",2900-2999,FULTON,ST,-,1
02/03/2018,14,Aggravated Assault,10H50,Convenience Store,2700-2799,ALABAMA ST,ST,-,1
02/04/2018,12,Burglary,10H50,Residence or House,3400-3499,TUAM,-,-,1
02/04/2018,19,Theft,10H50,Apartment Parking Lot,3700-3799,BURKETT ST,ST,-,1
02/04/2018,21,Burglary,10H50,Residence or House,3200-3299,HOLMAN,ST,-,1
02/05/2018,15,Aggravated Assault,10H50,Residence or House,3400-3499,MCGOWEN ST,ST,-,1
02/06/2018,16,Theft,10H50,Commercial Parking Lot or Garage,3700-3799,SCOTT ST,ST,-,1
02/06/2018,15,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SAMPSON,-,-,1
02/06/2018,11,Theft,10H50,Residence or House,3700-3799,DREW ST,ST,-,1
02/06/2018,10,Theft,10H50,Construction Site,2400-2499,RUE DE LAFITTE,-,-,1
02/06/2018,10,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SAMPSON,-,-,1
02/06/2018,14,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SAMPSON,-,-,1
02/07/2018,11,Burglary,10H50,Residence or House,3700-3799,RIO VISTA,ST,-,1
02/07/2018,03,Theft,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",2800-2899,TRUXILLO,-,-,1
02/07/2018,08,Theft,10H50,Bus Stop,3700-3799,SAMPSON,-,-,1
02/07/2018,22,Aggravated Assault,10H50,Grocery Store or Supermarket Parking Lot,3300-3399,SCOTT ST,ST,-,1
02/08/2018,09,Theft,10H50,Residence or House,3400-3499,DREW ST,ST,-,1
02/10/2018,21,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,BEULAH ST,ST,-,4
02/10/2018,22,Burglary,10H50,Residence or House,3400-3499,BEULAH,ST,-,1
02/10/2018,11,Theft,10H50,"Road, Street, or Sidewalk",2900-2999,BURKETT ST,ST,-,1
02/10/2018,11,Robbery,10H50,Driveway,3300-3399,BEULAH ST,ST,-,1
02/11/2018,12,Aggravated Assault,10H50,Residence or House,2500-2599,TRUXILLO,-,-,1
02/11/2018,13,Burglary,10H50,Residence or House,2000-2099,LAKESIDE,DR,-,1
02/11/2018,08,Aggravated Assault,10H50,Apartment,4700-4799,TIDEWATER,DR,-,1
02/11/2018,10,Theft,10H50,Commercial Parking Lot or Garage,4700-4799,CALHOUN RD,RD,-,1
02/11/2018,22,Rape,10H50,Residence or House,3200-3299,SIMMONS,-,-,1
02/12/2018,09,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT ST,ST,-,1
02/12/2018,18,Theft,10H50,"Other, Unknown, or Not Listed",2700-2799,SAINT EMANUEL ST,ST,-,1
02/12/2018,13,Burglary,10H50,Residence or House,2800-2899,HOLMAN,-,-,1
02/13/2018,13,Theft,10H50,"Stadium, Sports Arena, Race Track",5100-5199,SAM HOUSTON,PKWY,N,1
02/13/2018,16,Aggravated Assault,10H50,"Road, Street, or Sidewalk",4000-4099,DREW ST,ST,-,1
02/13/2018,09,Robbery,10H50,Commercial Parking Lot or Garage,11600-11699,SPRIGGS,WAY,-,1
02/13/2018,05,Robbery,10H50,Convenience Store Parking Lot,12200-12299,FONDREN RD APT 1504,-,-,1
02/14/2018,20,Theft,10H50,Commercial Parking Lot or Garage,3700-3799,SCOTT ST,ST,-,1
02/14/2018,16,Burglary,10H50,Residence or House,3300-3399,MCGOWEN ST.,-,-,1
02/15/2018,04,Burglary,10H50,Apartment,4100-4199,SOUTH ACRES,-,-,1
02/15/2018,20,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3200-3299,TUAM,-,-,1
02/18/2018,17,Theft,10H50,Service or Gas Station,3700-3799,BURKETT,-,-,1
