Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
8/1/18,7,Simple assault,,1,12D20,"Residence, Home (Includes Apartment)",11100-11199,FUQUA,ST,
8/1/18,7,Simple assault,,1,18F20,"Highway, Road, Street, Alley",2600-2699,LOOP,,W
8/1/18,7,Simple assault,,1,6B40,"Residence, Home (Includes Apartment)",1500-1599,DOLLY WRIGHT,ST,
8/1/18,7,Simple assault,,1,1.50E+11,"Residence, Home (Includes Apartment)",8900-8999,CHIMNEY ROCK,RD,
8/1/18,7,Theft of motor vehicle parts or accessory,,1,12D30,"Residence, Home (Includes Apartment)",12800-12899,ROYDON,DR,
8/1/18,7,All other offenses,,1,2A10,"Highway, Road, Street, Alley",4200-4299,FREEMONT,ST,
8/1/18,7,Intimidation,,1,1.70E+21,"Hotel, Motel, ETC",8200-8299,SOUTHWEST,FWY,
8/1/18,7,Theft from motor vehicle,,1,1.70E+11,"Highway, Road, Street, Alley",6800-6899,CHETWOOD,DR,
8/1/18,7,All other larceny,,1,10H40,"Residence, Home (Includes Apartment)",3300-3399,CRAWFORD,ST,
8/1/18,7,"Credit card, ATM fraud",,1,14D30,"Residence, Home (Includes Apartment)",7300-7399,HURTGEN FOREST,RD,
8/1/18,7,All other larceny,,1,10H20,"Residence, Home (Includes Apartment)",1500-1599,SCHARPE,,
8/1/18,7,Intimidation,,1,12D10,"Residence, Home (Includes Apartment)",9500-9599,MINNESOTA,ST,
8/1/18,7,All other larceny,,1,6B50,"Commercial, Office Building",400-499,SAM HOUSTON,PKWY,N
8/1/18,7,All other larceny,,1,18F40,"Residence, Home (Includes Apartment)",8500-8599,WOODWAY,DR,
8/1/18,7,All other larceny,,1,21I50,"Airplane, Bus,Train Terminal",3800-3899,TERMINAL,RD,
8/1/18,7,"Destruction, damage, vandalism",,1,14D30,"Residence, Home (Includes Apartment)",5900-5999,BELDART,ST,
8/1/18,7,Embezzlement,,1,1.50E+41,Dock/Wharf/Freight/Modal Terminal,2700-2799,HOLLY HALL,ST,
8/1/18,7,Simple assault,,1,1.70E+21,"Department, Discount Store",7000-7099,BISSONNET,ST,
8/1/18,8,Identify theft,,1,14D20,"Residence, Home (Includes Apartment)",3600-3699,CORKSIE,ST,
8/1/18,8,"False pretenses, swindle",,1,19G10,"Other, Unknown",9800-9899,CLUB CREEK,DR,
8/1/18,8,Simple assault,,1,7C30,"Residence, Home (Includes Apartment)",1700-1799,ROXELLA,,
8/1/18,8,All other offenses,,1,21I50,"Airplane, Bus,Train Terminal",3800-3899,TERMINAL,RD,N
8/1/18,8,"Drug, narcotic violations",,1,2A10,"Highway, Road, Street, Alley",2200-2299,FULTON,ST,
8/1/18,8,All other larceny,,1,3B50,"Department, Discount Store",4400-4499,NORTH,FWY,
8/1/18,8,Theft from motor vehicle,,1,5F30,"Hotel, Motel, ETC",14000-14099,NORTHWEST,FWY,
8/1/18,8,All other offenses,,1,6B30,"Highway, Road, Street, Alley",7000-7099,T C JESTER,BLVD,
8/1/18,8,Theft from motor vehicle,,1,20G30,"Residence, Home (Includes Apartment)",10800-10899,RICHMOND,AVE,
8/1/18,8,Intimidation,,1,13D20,"Commercial, Office Building",8800-8899,GULF,FWY,
8/1/18,8,All other offenses,,1,13D10,"Residence, Home (Includes Apartment)",6700-6799,FAIRWAY,DR,
8/1/18,8,"Drug, narcotic violations",,1,13D10,"Residence, Home (Includes Apartment)",6700-6799,FAIRWAY,DR,
8/1/18,8,All other offenses,,1,14D20,"Highway, Road, Street, Alley",4500-4599,BRICKER,ST,
8/1/18,8,Simple assault,,1,14D20,"Highway, Road, Street, Alley",4500-4599,BRICKER,ST,
8/1/18,8,Theft of motor vehicle parts or accessory,,1,2A10,"Residence, Home (Includes Apartment)",1400-1499,TARLEY,,
8/1/18,8,All other offenses,,1,1.70E+21,"Residence, Home (Includes Apartment)",7400-7499,BEECHNUT,ST,
8/1/18,8,Trespass of real property,,1,11H10,"Residence, Home (Includes Apartment)",200-299,DE KOVEN,,
8/1/18,8,Theft of motor vehicle parts or accessory,,1,6B30,"Residence, Home (Includes Apartment)",3600-3699,VILLA GLEN,DR,
8/1/18,8,Theft of motor vehicle parts or accessory,,1,14D20,"Parking Lot, Garage",3300-3399,ALICE,ST,
8/1/18,8,Intimidation,,1,1A30,"Residence, Home (Includes Apartment)",2600-2699,GREENBRIAR,DR,
8/1/18,8,Theft from motor vehicle,,1,2A60,"Commercial, Office Building",1500-1599,LOOP,,N
8/1/18,8,Motor vehicle theft,,1,8C50,"Residence, Home (Includes Apartment)",9500-9599,WAYSIDE,DR,N
8/1/18,8,All other larceny,,1,12D10,"Parking Lot, Garage",10200-10299,ALMEDA GENOA,RD,
8/1/18,8,Motor vehicle theft,,1,12D10,"Parking Lot, Garage",10200-10299,ALMEDA GENOA,RD,
8/1/18,8,All other larceny,,1,18F50,"Residence, Home (Includes Apartment)",7400-7499,HARWIN,DR,
8/1/18,8,All other larceny,,1,3B40,"Residence, Home (Includes Apartment)",4100-4199,ROGERS,,
8/1/18,8,Simple assault,,1,1.50E+41,"Parking Lot, Garage",8200-8299,CAMBRIDGE,ST,
8/1/18,8,"Burglary, Breaking and Entering",,1,14D40,Speciality Store,13400-13499,SOUTH,FWY,
8/1/18,8,"Burglary, Breaking and Entering",,1,1A10,"Residence, Home (Includes Apartment)",1500-1599,MAIN,ST,
8/1/18,8,All other larceny,,1,5F20,"Parking Lot, Garage",7900-7999,LONG POINT,RD,
8/1/18,8,"Destruction, damage, vandalism",,1,12D70,"Other, Unknown",18600-18699,GULF,FWY,
8/1/18,8,"Burglary, Breaking and Entering",,1,14D50,"Church, Synagogue, Temple",4800-4899,ALLISON,RD,
8/1/18,8,"Credit card, ATM fraud",,1,1A10,Convenience Store,1200-1299,TRAVIS,ST,
8/1/18,8,"False pretenses, swindle",,1,22B10,Cyberspace,13100-13199,BRETON RIDGE,ST,
8/1/18,8,"False pretenses, swindle",,1,9C30,"Other, Unknown",10100-10199,FLEMING,DR,
8/1/18,8,Embezzlement,,1,10H30,"Residence, Home (Includes Apartment)",2200-2299,JEFFERSON,ST,
8/1/18,8,Intimidation,,1,14D40,"Residence, Home (Includes Apartment)",5000-5099,PARADISE,LN,
8/1/18,8,"Burglary, Breaking and Entering",,1,10H70,"Residence, Home (Includes Apartment)",0-99,HERMANN PARK,CT,
8/1/18,8,All other larceny,,1,14D30,"Residence, Home (Includes Apartment)",5500-5599,CHENNAULT,RD,
8/1/18,8,"Credit card, ATM fraud",,1,14D30,"Other, Unknown",5500-5599,CHENNAULT,RD,
8/1/18,8,Embezzlement,,1,20G50,Daycare Facility,10400-10499,KATY,FWY,
8/1/18,8,Impersonation,,1,18F30,"Residence, Home (Includes Apartment)",5800-5899,CANDLEWOOD,LN,
8/1/18,8,"Counterfeiting, forgery",,1,19G50,"Other, Unknown",10100-10199,FORUM PARK,DR,
8/1/18,8,"Drug, narcotic violations",,1,HCSO,"Drug Store, Doctors Office, Hospital",18500-18599,KUYKENDAHL,RD,
8/1/18,9,Purchasing prostitution,,1,19G10,"Highway, Road, Street, Alley",9500-9599,PONDEROSA,LN,
8/1/18,9,Purchasing prostitution,,1,19G10,"Highway, Road, Street, Alley",9500-9599,PONDEROSA,LN,
8/1/18,9,Purchasing prostitution,,1,19G10,"Highway, Road, Street, Alley",9500-9599,PONDEROSA,LN,
8/1/18,9,All other offenses,,1,3B10,"Government, Public Building",4900-4999,34TH,ST,W
8/1/18,9,"Destruction, damage, vandalism",,1,18F40,"Residence, Home (Includes Apartment)",9400-9499,WESTHEIMER,RD,
8/1/18,9,Simple assault,,1,6B30,"Residence, Home (Includes Apartment)",5400-5499,GULF BANK,RD,W
8/1/18,9,Intimidation,,1,20G40,"Commercial, Office Building",11700-11799,WESTHEIMER,RD,
8/1/18,9,Simple assault,,1,20G40,"Commercial, Office Building",11700-11799,WESTHEIMER,RD,
8/1/18,9,Theft from motor vehicle,,1,19G30,"Highway, Road, Street, Alley",8000-8099,EMPEROR,LN,
8/1/18,9,"Destruction, damage, vandalism",,1,13D20,"Residence, Home (Includes Apartment)",8900-8999,BROADWAY,ST,
8/1/18,9,Trespass of real property,,1,18F20,"Residence, Home (Includes Apartment)",2500-2599,YORKTOWN,ST,
8/1/18,9,"Drug, narcotic violations",,1,2A10,"Highway, Road, Street, Alley",4700-4799,FULTON,ST,
8/1/18,9,"Destruction, damage, vandalism",,1,1.70E+31,"Residence, Home (Includes Apartment)",10100-10199,GESSNER,RD,S
8/1/18,9,Trespass of real property,,1,1.70E+31,"Residence, Home (Includes Apartment)",10100-10199,GESSNER,RD,S
8/1/18,9,All other larceny,,1,22B30,"Parking Lot, Garage",11300-11399,NORTH,FWY,
8/1/18,9,All other larceny,,1,10H10,"Residence, Home (Includes Apartment)",3300-3399,HARRISBURG,BLVD,
8/1/18,9,Robbery,,1,1A10,"Highway, Road, Street, Alley",1000-1099,MAIN,ST,
8/1/18,9,Simple assault,,2,7C10,"Residence, Home (Includes Apartment)",500-599,GREGG,ST,
8/1/18,9,Intimidation,,1,14D40,"Residence, Home (Includes Apartment)",11100-11199,SAFEGUARD,,
8/1/18,9,All other offenses,,1,2A20,"Highway, Road, Street, Alley",1300-1399,LOOP,,N
8/1/18,9,Motor vehicle theft,,1,1.50E+11,"Residence, Home (Includes Apartment)",9400-9499,FONDREN,RD,
8/1/18,9,Robbery,,1,7C30,"Other, Unknown",7900-7999,JENSEN,DR,
8/1/18,9,"Drug, narcotic violations",,1,1A10,"Highway, Road, Street, Alley",900-999,WALKER,ST,
8/1/18,9,Theft from motor vehicle,,1,19G20,"Parking Lot, Garage",7700-7799,BOONE,RD,
