Indicator Name,What Is This Indicator,Location Type,Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Indicator Count Value,Indicator Count Value Units,Count Lower Confidence Interval,Count Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Rate Value,Breakout Rate Value Units,Breakout Rate Lower Confidence Interval,Breakout Rate Upper Confidence Interval,Breakout Count Value,Breakout Count Value Units,Breakout Count Lower Confidence Interval,Breakout Count Upper Confidence Interval,Breakout Unstable,Breakout Footer
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,83991,dollars,55156,112826,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,80682,dollars,63124,98240,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,73889,dollars,56963,90815,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,68854,dollars,50813,86895,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,64643,dollars,51808,77478,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,56850,dollars,53168,60532,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,64936,dollars,46222,83650,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511001,56122,dollars,41799,70445,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,76509,dollars,52237,100781,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,67866,dollars,53449,82283,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,64762,dollars,44118,85406,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,67446,dollars,42711,92181,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,65900,dollars,46994,84806,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,59194,dollars,43035,75353,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,54315,dollars,42856,65774,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,55740,dollars,45151,66329,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511002,55343,dollars,45460,65226,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,112969,dollars,93565,132373,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,104205,dollars,83133,125277,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,90395,dollars,68270,112520,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,83580,dollars,60472,106688,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,73571,dollars,45548,101594,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,65819,dollars,46254,85384,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,73162,dollars,54277,92047,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,65893,dollars,46241,85545,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511100,64429,dollars,38988,89870,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,136515,dollars,110199,162831,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,101836,dollars,76085,127587,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,100642,dollars,74462,126822,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,88040,dollars,59959,116121,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,90250,dollars,68974,111526,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,87702,dollars,66725,108679,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,95378,dollars,86484,104272,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,85156,dollars,72688,97624,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511200,73125,dollars,61389,84861,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,116103,dollars,81181,151025,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,127025,dollars,85219,168831,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,110673,dollars,71376,149970,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,93723,dollars,71533,115913,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,82070,dollars,62534,101606,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,68678,dollars,55596,81760,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,66511,dollars,54448,78574,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,75852,dollars,58296,93408,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511301,86000,dollars,72865,99135,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,93182,dollars,70923,115441,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,93050,dollars,77604,108496,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,85259,dollars,67641,102877,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,73378,dollars,56197,90559,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,66797,dollars,50919,82675,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,59955,dollars,46505,73405,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,51642,dollars,45521,57763,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,50895,dollars,41961,59829,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511302,49926,dollars,42529,57323,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,117931,dollars,82922,152940,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,100375,dollars,76511,124239,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,82813,dollars,55788,109838,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,75865,dollars,59065,92665,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,81250,dollars,59126,103374,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,81923,dollars,63767,100079,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,80870,dollars,59313,102427,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,77946,dollars,62916,92976,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511400,65450,dollars,52134,78766,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,120069,dollars,107043,133095,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,109896,dollars,93437,126355,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,95944,dollars,78326,113562,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,87159,dollars,72893,101425,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,81894,dollars,63298,100490,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,65804,dollars,56058,75550,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,62153,dollars,47201,77105,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,62826,dollars,52468,73184,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511500,56667,dollars,49835,63499,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,54167,dollars,42026,66308,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,50705,dollars,37232,64178,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,47736,dollars,38999,56473,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,48091,dollars,43484,52698,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,47713,dollars,39492,55934,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,44194,dollars,36753,51635,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,43137,dollars,33061,53213,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,41944,dollars,31209,52679,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201511600,38194,dollars,30350,46038,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,116750,dollars,86450,147050,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,88363,dollars,74666,102060,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,85114,dollars,74005,96223,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,76023,dollars,62981,89065,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,75417,dollars,52261,98573,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,68854,dollars,56813,80895,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,60333,dollars,50391,70275,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,60139,dollars,50419,69859,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520100,54420,dollars,46937,61903,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,85156,dollars,60525,109787,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,76034,dollars,61466,90602,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,76548,dollars,58679,94417,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,78229,dollars,56158,100300,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,79750,dollars,52897,106603,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,89722,dollars,68199,111245,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,102917,dollars,82063,123771,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,91389,dollars,61500,121278,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520200,100000,dollars,55153,144847,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,41745,dollars,34822,48668,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,41147,dollars,35051,47243,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,38246,dollars,33826,42666,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,37138,dollars,32111,42165,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,36675,dollars,31953,41397,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,33375,dollars,27732,39018,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,30370,dollars,25851,34889,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,30451,dollars,22599,38303,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520300,33003,dollars,28270,37736,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,29497,dollars,26989,32005,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,30462,dollars,27615,33309,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,28365,dollars,24615,32115,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,29877,dollars,25364,34390,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,31850,dollars,27301,36399,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,29946,dollars,23930,35962,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,28036,dollars,19313,36759,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,29167,dollars,18093,40241,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520400,30083,dollars,21532,38634,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,40420,dollars,32627,48213,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,39622,dollars,34932,44312,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,33082,dollars,28993,37171,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,29044,dollars,23604,34484,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,32894,dollars,28796,36992,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,32648,dollars,25469,39827,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,29921,dollars,24509,35333,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,31371,dollars,27556,35186,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520500,31854,dollars,27875,35833,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520601,35880,dollars,27546,44214,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520601,30552,dollars,25877,35227,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520601,31189,dollars,25990,36388,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201520601,32155,dollars,25904,38406,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
