Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
01/11/2018,14,Aggravated Assault,10H50,"Road, Street, or Sidewalk",6000-6099,SCHROEDER RD.,-,-,1
01/11/2018,15,Theft,10H50,Apartment Parking Lot,3500-3599,ATTUCKS,ST,-,1
01/11/2018,16,Aggravated Assault,10H50,Residence or House,3300-3399,BREMOND,ST,-,1
01/12/2018,20,Burglary,10H50,Apartment Rental Office,4700-4799,CALHOUN RD,RD,-,1
01/12/2018,14,Theft,10H50,Bank,3500-3599,ELGIN,-,-,1
01/13/2018,10,Theft,10H50,Driveway,3000-3099,ST EMANUEL,-,-,1
01/14/2018,07,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2800-2899,NETTLETON,-,-,1
01/14/2018,12,Theft,10H50,Residence or House,3000-3099,ENNIS,ST,-,1
01/14/2018,16,Burglary,10H50,Apartment,3700-3799,BURKETT ST,ST,-,1
01/14/2018,18,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2700-2799,SAUER,-,-,1
01/15/2018,13,Burglary,10H50,Residence or House,3300-3399,PARKWOOD,DR,-,1
01/17/2018,21,Robbery,10H50,"Road, Street, or Sidewalk",8300-8399,WYNBROOK,-,-,1
01/17/2018,12,Theft,10H50,Convenience Store,3400-3499,FRANCIS,ST,-,1
01/18/2018,08,AutoTheft,10H50,"Road, Street, or Sidewalk",2100-2199,HOLMAN,-,-,1
01/18/2018,12,Theft,10H50,"Road, Street, or Sidewalk",2300-2399,PIERCE ST,ST,-,1
01/18/2018,13,Aggravated Assault,10H50,Residence or House,3300-3399,ROSALIE,ST,-,2
01/18/2018,23,Robbery,10H50,Light Rail Platform,3700-3799,SCOTT ST,ST,-,1
01/19/2018,00,Robbery,10H50,Convenience Store,3300-3399,EMANCIPATION AVE,-,-,1
01/19/2018,19,Theft,10H50,Other Parking Lot,2700-2799,SAINT EMANUEL ST,ST,-,1
01/19/2018,14,Burglary,10H50,Office Building,3500-3599,EMANCIPATION,AVE,-,1
01/20/2018,17,Theft,10H50,Other Parking Lot,2300-2399,ALABAMA ST,ST,-,1
01/20/2018,09,Burglary,10H50,Residence or House,3100-3199,ARBOR,ST,-,1
