Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
04/14/2018,19,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,LOUISIANA,ST,-,1
04/14/2018,20,Aggravated Assault,10H40,Apartment,4600-4699,MAIN,ST,-,1
04/14/2018,20,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,FANNIN,ST,-,1
04/15/2018,09,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HADLEY,ST,-,1
04/15/2018,01,Robbery,10H40,Strip Business Center Parking Lot,2600-2699,TRAVIS,ST,-,1
04/15/2018,22,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-,-,1
04/15/2018,23,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
04/15/2018,20,Robbery,10H40,Restaurant or Cafeteria,2000-2099,MAIN,ST,-,1
04/15/2018,16,Theft,10H40,Residence or House,1800-1899,HADLEY,ST,-,1
04/16/2018,03,Burglary,10H40,Miscellaneous Business (Non-Specific),3700-3799,LA BRANCH,-,-,1
04/16/2018,04,Rape,10H40,Apartment,3800-3899,FANNIN,ST,-,1
04/16/2018,10,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST,-,1
04/16/2018,11,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
04/16/2018,12,Robbery,10H40,"Road, Street, or Sidewalk",2200-2299,CHENEVERT,ST,-,1
04/16/2018,22,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
04/17/2018,09,Theft,10H40,Apartment Parking Lot,3500-3599,MAIN,ST,-,1
04/17/2018,10,Theft,10H40,Commercial Parking Lot or Garage,2800-2899,CAROLINE,ST,-,1
04/17/2018,16,Theft,10H40,Commercial Parking Lot or Garage,1500-1599,HADLEY,ST,-,1
04/17/2018,13,AutoTheft,10H40,"Road, Street, or Sidewalk",1500-1599,ALABAMA,ST,-,1
04/17/2018,21,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
04/17/2018,21,Aggravated Assault,10H40,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,ELGIN,ST,-,2
04/18/2018,08,Theft,10H40,Restaurant or Cafeteria,2000-2099,MAIN,ST,-,1
04/18/2018,04,Burglary,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
04/18/2018,23,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST,-,1
04/18/2018,23,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-,-,1
04/18/2018,22,Rape,10H40,Residence or House,2100-2199,FANNIN,ST,-,1
04/18/2018,19,Robbery,10H40,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,ST,-,1
04/19/2018,00,Robbery,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
04/19/2018,03,Theft,10H40,Commercial Parking Lot or Garage,2100-2199,TRAVIS,ST,-,1
04/19/2018,08,Theft,10H40,Apartment Parking Lot,1800-1899,HADLEY,ST,-,1
04/19/2018,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST,-,1
04/19/2018,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
04/19/2018,22,Theft,10H40,"Road, Street, or Sidewalk",900-999,STUART,-,-,1
04/19/2018,22,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-,-,1
04/19/2018,21,Theft,10H40,Apartment Parking Lot,4600-4699,MAIN,ST,-,1
04/19/2018,16,Theft,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST,-,1
04/20/2018,12,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
04/20/2018,08,Theft,10H40,Apartment Parking Lot,1300-1399,HADLEY,ST,-,1
04/20/2018,03,Robbery,10H40,"Road, Street, or Sidewalk",1200-1299,WHEELER,ST,-,1
04/20/2018,21,Theft,10H40,Driveway,2300-2399,CAROLINE,ST,-,1
04/21/2018,00,Theft,10H40,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA,ST,-,1
04/21/2018,10,Theft,10H40,"Road, Street, or Sidewalk",1800-1899,HADLEY,ST,-,1
04/21/2018,11,Theft,10H40,Residence or House,4600-4699,MAIN,ST,-,1
04/21/2018,16,Theft,10H40,Clothing Store,3600-3699,MAIN,ST,-,1
04/21/2018,22,Theft,10H40,"Road, Street, or Sidewalk",900-999,FRANCIS,ST,-,1
04/22/2018,00,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CAROLINE,ST,-,1
04/22/2018,15,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CAROLINE,ST,-,1
04/22/2018,09,Theft,10H40,"Road, Street, or Sidewalk",3100-3199,HAMILTON,ST,-,1
04/22/2018,21,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST,-,1
04/23/2018,01,Aggravated Assault,10H40,Apartment,4000-4099,FANNIN,ST,-,1
04/23/2018,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3500-3599,MAIN,ST,-,1
04/23/2018,09,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,CHENEVERT,ST,-,1
04/23/2018,13,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST,-,1
04/23/2018,15,Theft,10H40,Office Building,1300-1399,HADLEY,ST,-,1
04/23/2018,19,Robbery,10H40,"Road, Street, or Sidewalk",4400-4499,FANNIN,ST,-,1
04/24/2018,07,Theft,10H40,Apartment Parking Lot,2200-2299,AUSTIN,ST,-,1
04/24/2018,07,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,CAROLINE,ST,-,1
04/24/2018,11,Theft,10H40,Commercial Parking Lot or Garage,3600-3699,CHENEVERT,ST,-,1
04/24/2018,12,Theft,10H40,Other Parking Lot,3200-3299,LOUISIANA,ST,-,1
04/24/2018,13,Robbery,10H40,"Road, Street, or Sidewalk",4400-4499,FANNIN,ST,-,1
04/24/2018,19,AutoTheft,10H40,Apartment Parking Lot,1600-1699,HOLMAN,-,-,1
04/24/2018,20,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HADLEY,ST,-,1
04/25/2018,06,Burglary,10H40,Restaurant or Cafeteria,1100-1199,HOLMAN,-,-,1
04/25/2018,11,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,LA BRANCH,-,-,1
04/25/2018,09,Aggravated Assault,10H40,"Road, Street, or Sidewalk",900-999,ROSEWOOD,ST,-,1
04/25/2018,19,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST,-,1
04/25/2018,21,Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-,-,1
04/26/2018,06,Theft,10H40,Convenience Store,2100-2199,FANNIN,ST,-,1
04/26/2018,07,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,TRAVIS,ST,-,1
04/26/2018,09,Burglary,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
04/26/2018,10,Theft,10H40,Apartment,4000-4099,FANNIN,ST,-,1
04/26/2018,10,Theft,10H40,"Road, Street, or Sidewalk",2600-2699,TRAVIS,ST,-,1
04/26/2018,11,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA,ST,-,1
04/26/2018,11,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,TRUXILLO,-,-,1
04/26/2018,12,AutoTheft,10H40,"Road, Street, or Sidewalk",3300-3399,JACKSON,ST,-,1
04/26/2018,16,Robbery,10H40,"Road, Street, or Sidewalk",1300-1399,WHEELER,ST,-,1
04/26/2018,19,Theft,10H40,"Other, Unknown, or Not Listed",2300-2399,MAIN,ST,-,1
04/26/2018,22,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
04/27/2018,01,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,MCILHENNY,ST,-,1
04/27/2018,01,Theft,10H40,"Road, Street, or Sidewalk",3200-3299,TRAVIS,ST,-,1
04/27/2018,22,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,CHENEVERT,ST,-,1
04/27/2018,19,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-,-,1
04/27/2018,19,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
