iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8
235	0.5056846289	1.2864933	0	0.4488529402	0.3143008997	0.01140469738	0	0	0	0.6723443444	0.0002393298763
236	0.5056028976	1.286420534	0	0.4486389891	0.314571797	0.01184900976	0	0	0	0.6722984047	0.0002393203303
237	0.5055985959	1.286415469	0	0.4486513654	0.3145598665	0.01184900976	0	0	0	0.6722901764	0.0002393203303
238	0.5056502157	1.286405028	0	0.4487256192	0.314607594	0.01184967837	0	0	0	0.6723315976	0.0002393203303
239	0.505671724	1.2863639	0	0.4488372464	0.3148436019	0.01184900976	0	0	0	0.6722563569	0.0002393203303
240	0.5056028976	1.286278727	0	0.4485836677	0.3149116822	0.01162856336	0	0	0	0.6723047556	0.0002393203303
241	0.505671724	1.286235467	0	0.4485958934	0.3150934101	0.01162856336	0	0	0	0.6723647906	0.0002393298763
242	0.5059212196	1.286124427	0	0.4487951326	0.3169269065	0.01162921983	0	0	0	0.6726430959	0.0002393298763
243	0.5059083147	1.286062223	0	0.44876421	0.3169101824	0.01162987636	0	0	0	0.672578643	0.0002393203303
244	0.505916918	1.286049884	0	0.4487573549	0.3169797074	0.01162987636	0	0	0	0.6725784957	0.0002393203303
